"GUID","Index","Name","Description","Category","Productivity","Risk","SoftwareFlags","Reference","PluginName"
"EARTHCAM",1011,"EarthCam","General browsing and interaction on earthcam.com","Web Services",2,2,0,"","sites"
"EASTMONY",853,"Eastmoney","General browsing and interaction on Chinese financial portal eastmoney.com","Web Services",2,2,0,"","sites"
"EBAY",465,"eBay","An online auction and shopping website.","Web Services",2,1,0,"","sites"
"EBUDDY",791,"eBuddy","Traffic generated by browsing the eBuddy website, sending messages, using voice and video chat.","Messaging",2,2,0,"","ebuddy"
"EBUDYXMS",792,"eBuddy XMS","Sending messages using the eBuddy XMS application","Messaging",2,1,0,"","ebuddy"
"ECHO",38,"Echo","A service in the Internet Protocol Suite defined in RFC 862. It was originally proposed for testing and measurement of round-trip times in IP networks.","Network Monitoring",2,5,0,"","portmap"
"EDGECAST",1217,"EdgeCast Networks","Traffic generated by accessing ad website edgecastcdn.net","Web Services",3,1,0,"","sites"
"EDITGRID",994,"Editgrid","General browsing and interaction with online spreadsheet site editgrid","Web Services",4,1,0,"","sites"
"EDONKEY",590,"eDonkey","eDonkey/eMule peer-to-peer file sharing.","File Transfer",1,5,0,"","edonkey,portmap"
"EFFECTMS",905,"Effective Measure","Traffic generated by browsing web pages that use Effective Measure to generate ads.","Web Services",4,1,0,"","sites"
"EGP",20,"EGP","EGP (Exterior Gateway Protocol) is an obsolete routing protocol for the Internet.","Networking",3,1,0,"","ip"
"EHOW",1006,"eHow","General browsing, interaction, and watching videos on how-to instruction site eHow","Web Services",2,1,0,"","sites"
"EIGRP",1162,"EIGRP","Enhanced Interior Gateway Routing Protocol (EIGRP) is an advanced distance vector routing protocol based on the principles of the Interior Gateway Routing Protocol (IGRP).","Networking",3,1,0,"","ip,ipv6"
"EMBLNDT",281,"EMBLNDT","Port 394/tcp and 394/udp","Networking",3,1,0,"","portmap"
"EMFIS",134,"EMFIS","EMFIS Service","Networking",3,1,0,"","portmap"
"ENETCN",665,"enet.com.cn","A web portal for IT people in China","Web Services",4,1,0,"","sites"
"ENGAGBDR",946,"Engage BDR","Traffic generated by browsing web pages that use Engage BDR to generate ads","Web Services",4,1,0,"","sites"
"ENIP",1442,"EtherNet/IP","EtherNet/IP is the IP implementation of CIP, an industrial automation protocol.","Networking",5,2,0,"","portmap,scada"
"ENOVANCE",961,"eNovance","Traffic generated by browsing web pages that use eNovance to generate ads","Web Services",4,1,0,"","sites"
"ENVATO",666,"Envato","Envato is an Australian based, privately held company that provides tutorial sites that teach people skills in a variety of creative areas as well as providing a means to sell their digital goods via a family of online marketplaces.","Web Services",3,1,0,"","sites"
"EPMAP",132,"Epmap","Microsoft EPMAP (End Point Mapper), also known as DCE/RPC Locator service, is used to remotely manage services.","Networking",5,3,0,"","epmap,portmap"
"EQADS",932,"EQ Ads","Traffic generated by browsing webpages that use EQ Ads to generate ads","Web Services",4,1,0,"","sites"
"ERPC",118,"ERPC","Encore Expedited Remote Procedure Call","Remote Access",3,4,0,"","portmap"
"ESET",545,"Eset","Eset Antivirus/Security software download and updates.","File Transfer",4,1,0,"","avsecurity"
"ESP",26,"ESP","ESP (Encapsulating Security Payload) is a member of the Ipsec protocol suite, providing origin authenticity, integrity, and confidentiality protection of packets.","VPN and Tunneling",3,1,0,"","ip,ipsec"
"ESPN",1115,"ESPN","Traffic generated by browsing sports news articles, watching highlight videos, and sports fantasy league participation on the American sports site ESPN.com and affiliated websites.","Web Services",1,1,0,"","sites"
"ESRO",206,"ESRO","The Efficient Short Remote Operations service is a Remote Procedure Call service.","Networking",3,1,0,"","portmap"
"ETAO",781,"etao.com","Traffic generated by browsing links and searching with the site eato.com.","Web Services",3,3,0,"","sites"
"ETH",1,"ETH","Framing protocol that carries data to and from LANs (Local Area Networks)","Networking",3,1,0,"","eth"
"ETOS",270,"ETOS","Port 377/378/tcp and 377/378/udp","Networking",3,1,0,"","portmap"
"ETSY",854,"Etsy","General browsing, interaction, and shopping on e-commerce website Etsy","Web Services",3,1,0,"","sites"
"EVEONLIN",1407,"Eve Online","Playing and updating Eve Online's desktop game, and browsing the Eve Online website.","Games",1,1,0,"https://www.eveonline.com/","games"
"EVERNOTE",1049,"Evernote","Traffic generated by visiting the evernote website or syncing information from the applications to and from their cloud.","Web Services",3,2,0,"","evernote"
"EVIDON",899,"Evidon","Traffic generated by browsing a website that uses Evidon to collect user analytics.","Web Services",1,1,0,"","sites"
"EVONY",733,"Evony","General browsing, forum interaction, and game play of flash-based online gaming site Evony","Games",1,1,0,"","sites"
"EXCHAGOL",1110,"Exchange Online","Traffic associated with Exchange Online, such as visiting outlook.com.","Mail",4,1,0,"","exchange"
"EXCHANGE",510,"Exchange","Microsoft Exchange services.","Mail",4,4,0,"","exchange"
"EXELATE",906,"eXelate Media","Traffic generated by browsing websites that use eXelate Media to generate ads.","Web Services",1,1,0,"","sites"
"EXPONINT",907,"Exponential Interactive","Traffic generated by browsing websites that use Exponential Interactive to generate ads.","Web Services",3,1,0,"","sites"
"EXTRTORR",667,"Extratorrent.com","The World's Largest BitTorrent System","File Transfer",1,5,0,"","sites"
"EYERETRN",916,"eyeReturn","Traffic generated by browsing websites that use eyeReturn to collect user analytics.","Web Services",3,1,0,"","sites"
"FACEBOOK",474,"Facebook","Facebook is a social networking service.","Social Networking",2,5,0,"","facebook"
"FACETIME",629,"FaceTime","Video conferencing between supported Apple mobile devices and Macintosh computers using the Facetime application","Streaming Media",2,2,0,"","apple"
"FARMVILE",487,"Farmville","A real-time farm simulation game developed by Zynga, available as an application on the social-networking website Facebook and as an App on the Apple iPhone.","Games",1,1,0,"","zynga"
"FASP",572,"FASP","FASP (Fast and Secure Protocol) is a high speed secure file transfer protocol","File Transfer",4,3,0,"","fasp"
"FATMEN",242,"Fatmen","Port 347/tcp and 347/udp","Networking",3,1,0,"","portmap"
"FBOOKAPP",491,"Facebook Apps","Add ons developed for Facebook, generally games, puzzles, gifts, classifieds etc.","Social Networking",2,5,0,"","facebook"
"FB_EVENT",764,"Facebook Event","Creating/editing Facebook events","Social Networking",2,2,0,"","facebook"
"FB_MSGS",767,"Facebook Messages","Facebook E-mail and Instant Messaging","Social Networking",2,2,0,"","facebook"
"FB_POST",765,"Facebook Post","Interactions with Facebook walls","Social Networking",2,2,0,"","facebook"
"FB_SRCH",763,"Facebook Search","Searching within Facebook's website","Social Networking",2,2,0,"","facebook"
"FB_VDCHT",766,"Facebook Video Chat","Facebook Video Chat","Social Networking",2,3,0,"","facebook"
"FB_VIDEO",768,"Facebook Video","Facebook streaming video and video upload","Social Networking",2,3,0,"","facebook"
"FB_VOIP",1448,"Facebook VoIP","Video and voice streams using Facebook Messenger mobile apps or web browser functionality.","Streaming Media",1,2,0,"","facebook"
"FC2",1138,"FC2.com","Traffic generated by browsing or using the services on fc2.com","Web Services",3,1,0,"","sites"
"FEDERATD",953,"Federated Media","Traffic generated by browsing websites that use Federated Media to generate ad traffic.","Web Services",3,1,0,"","sites"
"FIESTA",1462,"Fiesta","Browsing the Fiesta website and playing online.","Games",1,1,0,"https://fiesta.gamigo.com","games"
"FILEMAKR",331,"FileMaker","A computer software company formed in 1998 from the vestiges of Claris as a wholly owned subsidiary of Apple Inc. FileMaker develops, supports and markets two relational database programs: FileMaker and Bento. Filemaker is available for both Mac OS X and Microsoft Windows operating systems and is aimed towards business use, or home users with high-end needs. Bento, aimed at the home user or basic small business user, is a Mac OS X application with additional versions available for the iPhone and iPad.","Networking",3,1,0,"","portmap"
"FILERCX",554,"Filer.cx","A file hosting service that provides free web space for documents, pictures, music and movies.","File Transfer",2,4,0,"","sites"
"FILESERV",702,"FileServe","General browsing and file transfers from file hosting services FileServe.com","File Transfer",3,5,0,"","sites"
"FILESONC",692,"Filesonic","General browsing and file transfers from data storage website Filesonic","File Transfer",3,3,0,"","sites"
"FILESTBE",499,"FilesTube","A file search engine that searches various file sharing and uploading sites like rapidshare, megaupload, mediafire, hotfile, netload, filesonic, 4shared.","File Transfer",1,3,0,"","sites"
"FINGER",80,"Finger","A simple network protocol for the exchange of human-oriented status and user information.","Network Monitoring",2,2,0,"","portmap"
"FIX",1073,"FIX","Communication between network devices using the FIX protocol.","Networking",5,1,0,"","fix"
"FLASH",1168,"Adobe Flash","Streaming videos, site and application interaction, using browser plugin Adobe Flash","Streaming Media",3,2,0,"","flash"
"FLICKR",531,"Flickr","An image hosting and video hosting website, web services suite, and online community.","Web Services",1,3,0,"","sites"
"FLIXSTER",557,"Flixster","A social movie site allowing users to share movie ratings, discover new movies and meet others with similar movie taste. The site has expanded to include a Facebook app, a MySpace app, and an app for Bebo and Orkut","Social Networking",1,2,0,"","flixster"
"FLUENT",1198,"Fluent","Web traffic associated with fluent mobile's web address of fluentmobile.com.","Web Services",3,1,0,"","sites"
"FLURRY",1143,"Flurry","Data collection traffic of different mobile applications from the company Flurry, Inc.","Web Services",3,1,0,"","sites"
"FOGBUGZ",470,"Fogbugz","FogCreek Software's online project management tool.","Web Services",5,1,0,"","sites"
"FORBES",703,"Forbes","General browsing of business magazine website Forbes.com","Web Services",4,1,0,"","sites"
"FOURSQR",727,"foursquare","Check-ins, browsing, and searching on the mobile application or website foursquare.","Social Networking",1,1,0,"","sites"
"FOXNEWS",1017,"Fox News","Traffic generated by browsing the Fox News website and streaming videos.","Web Services",3,2,0,"","sites"
"FOXSPORT",760,"FOX Sports","General browsing and streaming videos from sports news site foxsports.com, and affiliated sites.","Web Services",2,2,0,"","sites"
"FPROT",546,"F-Prot","F-Prot Antivirus/Security software download and updates.","File Transfer",4,1,0,"","avsecurity"
"FREEDIC",1128,"The Free Dictionary","Traffic generated by looking for word definitions, viewing articles, or playing games on thefreedictionary.com.","Web Services",3,1,0,"","sites"
"FREEETV",704,"freeetv","General browsing and streaming media from TV website freeetv.com","Streaming Media",1,4,0,"","sites"
"FREEFR",730,"Free","General browsing on French Internet Service Provider website Free.fr","Web Services",1,1,0,"","sites"
"FREEGATE",1069,"Freegate","Anonymized traffic from Freegate's Proxy applications.","Proxy",2,4,0,"","freegate"
"FREENET",1097,"Freenet","Traffic generated by the freenet browsing application.","File Transfer",3,5,0,"","freenet"
"FREWHEEL",968,"Freewheel Media","Traffic generated by browsing websites that use Freewheel Media to generate ads.","Web Services",3,1,0,"","sites"
"FRING",745,"Fring","Control and messaging flow traffic for mobile messaging application Fring","Messaging",3,3,0,"","fring"
"FRINGAV",746,"Fring A/V","Audio and video flow traffic for mobile messaging application Fring","Streaming Media",3,4,0,"","fring"
"FRLANCER",858,"Freelancer","Traffic generated by browsing and posting on the Freelancer website.","Web Services",5,2,0,"","sites"
"FRNDFEED",569,"FriendFeed","FriendFeed is a real-time feed aggregator from social media sites.","Social Networking",2,2,0,"","sites"
"FRNDSTER",478,"Friendster","Friendster is a social networking service.","Social Networking",1,3,0,"","socialnet"
"FRNTPAGE",1296,"Microsoft FrontPage","Traffic generated via FrontPage Server Extensions communication","Web Services",4,1,0,"","frontpage"
"FROZNWAY",1474,"Frozenway","Traffic generated by using the Frozenway app and browser extensions on desktop and connecting to Frozenway OpenVPN server on mobile devices.","VPN and Tunneling",1,3,0,"https://www.frozendo.com/","frozenway"
"FTP",45,"FTP","FTP (File Transfer Protocol) is used to transfer files from a file server to a local machine.","File Transfer",3,3,0,"","ftp,portmap"
"FTPCTRL",46,"FTP Control","FTP (File Transfer Protocol) Control is used to manage FTP Data transfers from a file server to a local machine.","File Transfer",3,3,0,"","ftp"
"FTPDATA",47,"FTP Data","File Transfer Protocol data flow","File Transfer",3,3,0,"","ftp"
"FTPS",340,"FTPS","FTP control over TLS/SSL.","File Transfer",3,3,0,"","portmap"
"FTPSDATA",339,"FTPSDATA","FTP data over TLS/SSL","File Transfer",3,3,0,"","portmap"
"FUNSHION",784,"Funshion","Traffic generated by browsing Funshion videos, shopping, and online games.","Web Services",1,1,0,"","funshion"
"FUNSHVID",785,"Funshion Video","Streaming movies, TV, and live video streams from Funshion website.","Streaming Media",1,2,0,"","funshion"
"FXP",222,"FXP","File eXchange Protocol provides a method of data transfer which uses the FTP protocol to transfer data from one remote server to another (inter-server) without routing this data through the client's connection.","File Transfer",3,1,0,"","portmap"
"GACP",175,"GACP","Gateway Access Control Protocol","Networking",4,1,0,"","portmap"
"GADUGADU",1218,"GG","Gadu-Gadu traffic that consists of instant text messaging and browsing product website","Messaging",1,5,0,"","gadugadu"
"GADUMDIA",1219,"GG Media","Voice and video traffic from instant messaging client Gadu-Gadu","Streaming Media",1,5,0,"","gadugadu"
"GANJI",1117,"Ganji","Classified ad and media traffic generated by browsing ganji.com.","Web Services",1,1,0,"","sites"
"GANTTER",1373,"Gantter","Traffic generated by general browsing, login, and logoff on Gantter websites.","Web Services",4,2,0,"","sites"
"GCM",1089,"Google Cloud Messaging","An Android client application retrieving messages sent to it by its server through the Google Cloud Messaging service.","Web Services",3,1,0,"","google"
"GENIE",289,"Genie","An old network management/diagnostic protocol,","Networking",3,1,0,"","portmap"
"GENRAD",162,"GENRAD","Protocol for service type GENRAD-MUX registered with IANA on Port 176 tcp/udp","Networking",3,1,0,"","portmap"
"GIGANEWS",455,"Giganews","A popular Usenet/newsgroup service provider.","File Transfer",1,4,0,"","nntp"
"GIST",216,"GIST","General Internet Signalling Transport","Networking",3,1,0,"","portmap"
"GLYPEPRX",668,"Glype Proxy","Web traffic generated by accessing Glype's official website.","Web Services",3,3,0,"","sites"
"GMAIL",435,"gmail","Logging in and sending/receiving emails on Google's web email service Gmail.","Mail",3,1,0,"","google"
"GNUTELLA",493,"Gnutella","A large peer-to-peer file-sharing network.","File Transfer",1,5,0,"","gnutella,portmap"
"GOAL",859,"goal.com","General browsing, interaction and streaming videos from international soccer news website goal.com.","Web Services",2,2,0,"","sites"
"GOGOBOX",773,"GoGoBox","Traffic generated by browsing, using the online store, and playing online games on the website gogobox.com","Web Services",1,1,0,"","sites"
"GOMREMOT",1082,"GOM Remote","Using mobile application to remotely control PC applications GOM Audio and GOM Media Player","Remote Access",2,4,0,"","gomtv"
"GOMTVCOM",1081,"GOMTV.com","General browsing, interaction, and streaming media on Korean streaming media site GOMTV.com","Streaming Media",2,4,0,"","gomtv"
"GOMTVNET",1080,"GOMTV.net","General browsing, watching videos, and league and player stat tracking on Korean e-sports site GOMTV.net","Streaming Media",2,4,0,"","gomtv"
"GOOGADS",797,"Google Ads","Traffic generated by browsing websites that use Google Ads to generate user specific advertisements.","Web Services",3,1,0,"","google"
"GOOGANAL",443,"Google Analytics","Google service that tracks and generates details web statistics.","Web Services",4,1,0,"","google"
"GOOGAPIS",444,"Google APIs","Google Application Programming Interfaces that support the development of web applications that leverage Google services.","Web Services",3,1,0,"","google"
"GOOGAPP",446,"Google App Engine","Google App Engine lets you run your web applications using Google's infrastructure.","Web Services",3,1,0,"","google"
"GOOGCNDR",438,"Google Calendar","A free time-management web application offered by Google.","Web Services",4,1,0,"","google"
"GOOGDESK",440,"Google Desktop","Google's Desktop search and desktop gadget software.","Web Services",3,2,0,"","google"
"GOOGDOCS",439,"Google Drive","Loading and editing files on Google's word processing and document storage site Google Drive.","Web Services",4,1,0,"","google"
"GOOGERTH",436,"Google Earth","Search locations for maps, topography, and first person views on Google's global mapping application Google Earth","Web Services",2,2,0,"","google"
"GOOGHANG",1181,"Google Hangouts","Traffic generated by voice and video streams from Google Hangouts, text chats, photo sharing and some parts of product webpage or from Google Helpouts voice and video streams.","Messaging",2,4,0,"","google"
"GOOGHELP",1182,"Google Helpouts","Traffic generated by voice and video streams from Google Helpouts, text chats, and some parts of product webpage.","Messaging",2,4,0,"","google"
"GOOGLBT",589,"Googlebot","Googlebot Web Crawler","Web Services",3,1,0,"","sites"
"GOOGLE",434,"Google","Internet searching on Google's search engine site google.com (or international equivalent) and/or encrypted traffic from other Google services.","Web Services",3,1,0,"","google"
"GOOGMAPS",624,"Google Maps","Traffic generated by browsing and searching locations and getting directions on Google's online mapping service Google Maps","Web Services",3,1,0,"","google"
"GOOGPLAY",839,"Google Play","Downloading apps, music, movies, TV shows, books on Android phone application store Google Play","Web Services",3,1,0,"","google"
"GOOGPLUS",604,"Google +","Connecting to friends, posting messages, pictures, and videos, newsfeeds and game play on Google's social networking service Google +","Social Networking",1,2,0,"","google"
"GOOGSAFE",445,"Google Safe","Google service that protects users from known phishing and malware sites","Web Services",3,1,0,"","google"
"GOOGTRAN",442,"Google Translate","Translating websites and selected text on Google's translation service Google Translate.","Web Services",3,1,0,"","google"
"GOOGVIDO",437,"Google Video","A free video sharing website and also a video search engine from Google Inc.","Streaming Media",2,2,0,"","google"
"GOONEJP",669,"goo.ne.jp","goo.ne.jp is a Japanese web portal","Web Services",2,1,0,"","sites"
"GOOSE",1290,"GOOSE","GOOSE being used to transmit data over a substation network.","Networking",5,1,0,"","scada"
"GOPHER",76,"Gopher","A TCP/IP Application layer protocol designed for distributing, searching, and retrieving documents over the Internet.","Web Services",2,1,0,"","portmap"
"GOTOMEET",448,"GoToMeeting","Using features of the GoToMeeting platform specific to GoToMeeting alone. Scheduling meetings, account management, and starting the GoToMeeting-specific client through the web.","Collaboration",4,2,0,"","citrixonline"
"GOTOMYPC",451,"Citrix GoToMyPC","Using GoToMyPC to remotely control a PC that has the hosting software installed.","Collaboration",4,2,0,"","citrixonline"
"GOTOTRNG",450,"Citrix GoToTraining","Using GoToTraining-specific features of the GoToMeeting platform within a GoToTraining session, including participant testing and course-material sharing.","Collaboration",4,2,0,"","citrixonline"
"GOTOWBNR",449,"Citrix GoToWebinar","Using GoToWebinar-specific features of the GoToMeeting platform within a GoToWebinar session, including Q&A, Panel management, and crowd management functions.","Collaboration",4,2,0,"","citrixonline"
"GPFS",381,"GPFS","IBM General Parallel File System is a high-performance shared-disk clustered file system.","File Transfer",5,1,0,"","portmap"
"GPITNP",101,"Genesis PPP","Genesis Point-to-Point Trans Net","Networking",3,1,0,"","portmap"
"GRE",25,"GRE","GRE (Generic Route Encapsulation Protocol) is a tunneling protocol developed by Cisco Systems that can encapsulate a wide variety of network layer protocol packet types inside IP tunnels, creating a virtual point-to-point link to various brands of routers at remote points over an Internet Protocol (IP) internetwork.","VPN and Tunneling",3,1,0,"","gre,ip"
"GREEGAME",1299,"Gree games","GREE Games Japanese social network service and mobile gaming","Social Networking",1,2,0,"","sites"
"GROUPON",734,"Groupon","General browsing and use of the features of the coupon deal website Groupon","Web Services",3,1,0,"","sites"
"GRPWISE",411,"Groupwise","A messaging and collaborative software platform from Novell that supports email, calendaring, personal information management, instant messaging, and document management.","Collaboration",5,1,0,"","groupwise,portmap"
"GRVSHRK",584,"Grooveshark","Online music search engine and streaming service","Streaming Media",1,2,0,"","sites"
"GSE",1291,"GSE","GSE being used to transmit data over a substation network.","Networking",5,1,0,"","scada"
"GSIFTP",341,"GSIFTP","FTP enhanced to use GSI security.","File Transfer",4,3,0,"","portmap"
"GSSLIC",125,"Gss License","Gss X License Verification","Networking",3,1,0,"","portmap"
"GTALK",496,"Google Talk","Sending audio and video files, voice and text messaging with Google's messaging service Google Talk.","Messaging",2,2,0,"","google"
"GTALKAUD",789,"GTalk Audio","Making an audio call or message using Google's messaging service Google Talk.","Streaming Media",3,2,0,"","google"
"GTALKFIL",788,"GTalk File Transfer","Sending a file over Google's messaging service Google Talk.","File Transfer",3,3,0,"","google"
"GTALKGAD",441,"GTalk Gadget","Flash based Google Talk IM client.","Messaging",2,2,0,"","google"
"GTALKVID",790,"GTalk Video","Making a video call using Google Talk or Google Talk mobile.","Streaming Media",3,2,0,"","google"
"GTP_C",849,"GTP Control","Protocol used within the GPRS core network for signaling between gateway and serving GPRS support nodes. It allows session activation, deactivation, adjustment of quality of service parameters, and session updates to check for new subscribers.","Networking",3,1,0,"","gtp"
"GTP_P",851,"GTP Prime","GPRS Tunneling Protocol (GTP) used for carrying charging data from the charging data function to the charging gateway function. Generally, from many individual network elements to a centralized computer that delivers the charging data to the network operator's billing centre.","Networking",3,1,0,"","gtp"
"GTP_U",850,"GTP User","Protocol used for carrying user data with the GPRS core network and between the radio access network and the core network.","Networking",3,1,0,"","gtp"
"GUARDIAN",860,"the guardian","General browsing and streaming audio and video from British new website the guardian","Web Services",2,2,0,"","sites"
"GUNGHO",1300,"GungHo","GungHo Online Entertainment Japanese video game corporation","Games",1,2,0,"","sites"
"H225",506,"H.225","In the family of H.323 VoIP protocols","Streaming Media",3,1,0,"","h323"
"H245",507,"H.245","H.245 is a control channel protocol used with[in] e.g. H.323 and H.324 communication sessions.","Streaming Media",3,1,0,"","h323"
"H248",420,"H.248","Megaco (officially H.248) is an implementation of the Media Gateway Control Protocol architecture for controlling VoIP gateways.","Streaming Media",3,3,0,"","h248,portmap"
"H323",386,"H.323","H.323 VoIP call signalling and control","Streaming Media",3,1,0,"","h323,portmap"
"HAMACHI",623,"Hamachi","A hosted VPN service that lets you securely extend LAN-like networks to distributed teams.","VPN and Tunneling",3,5,0,"","hamachi"
"HAO123",1121,"Hao123.com","Traffic generated by performing web searches on hao123.com.","Web Services",2,1,0,"","sites"
"HASSLE",268,"Hassle","HASSLE is a networking application that allows to execute remote jobs that have a transfer component built in. HASSLE is flexible as it only transfers the data and the parameters. The execution at the remote site is automatically accomplished via a code generator.","Networking",3,1,0,"","portmap"
"HBCI",423,"FinTS","A bank-independent protocol developed for online banking in the European market, used by German banks. Formerly HBCI (Home Banking Computer Interface)","Networking",5,1,0,"","hbci,portmap"
"HDAP",210,"HDAP","Microsoft HDA Protocol","Networking",3,1,0,"","portmap"
"HEMS",142,"HEMS","HEMS protocol","Networking",3,1,0,"","portmap"
"HI5",720,"hi5","General browsing and interaction with social gaming website hi5.com","Social Networking",1,2,0,"","sites"
"HIGHTAIL",1439,"Hightail","Data syncing traffic generated by Hightail's cloud storage service.","File Transfer",3,3,0,"","sites"
"HIVESTOR",399,"HiveStor","HiveStor Distributed File System","File Transfer",2,1,0,"","portmap"
"HL7",418,"HL7","Health Level 7 Medical information exchange is a standard for exchanging information between medical applications.","Collaboration",5,1,0,"","portmap"
"HOLA",1449,"Hola","Traffic generated by browsing websites though the Hola browser extension and mobile apps.","VPN and Tunneling",1,3,0,"","hola"
"HOOTSUIT",1021,"HootSuite","General browsing and interaction on the social media management website HootSuite","Web Services",3,2,0,"","sites"
"HOPSTER",560,"Hopster","An application that tunnels other applications in order to bypass firewalls.","Proxy",1,3,0,"","hopster,sites"
"HOSTNAME",99,"Hostname","NIC Host Name Server","Networking",3,1,0,"","portmap"
"HOTFILE",500,"Hotfile","Online file hosting/sharing.","File Transfer",1,5,0,"","sites"
"HOTSPTSH",1088,"Hotspot Shield","The setup and running of a vpn tunnel using Hotspot Shield's application on PC, Android, or iPhone.","VPN and Tunneling",3,2,0,"","hotspotshield"
"HOWARDFM",996,"HowardForums","Traffic generated by browsing and browsing the Howard Forums website.","Web Services",2,1,0,"","sites"
"HP",642,"HP Website","HP.com offers company news and information on Hewlett-Packard","Web Services",4,1,0,"","sites"
"HPPERF",272,"HP Perf","The Performance Data Collector for HP OpenVMS (TDC) gathers performance data for OpenVMS systems. By default, TDC periodically collects and stores data in a file. Subsequently, user applications can retrieve and analyze data from the file.","Networking",3,1,0,"","portmap"
"HPVMM",369,"HP VMM","HP Virtual Machine Manager (VMM)","Remote Access",5,1,0,"","portmap"
"HSRP",1426,"HSRP","Hot Standby Router Protocol is a Cisco redundancy protocol for establishing fault-tolerant default gateways.","Networking",5,1,0,"","hsrp"
"HTFACILE",1226,"HTFacile","Traffic generated by browsing websites that use HTFacile to generate ad traffic and gather analytics","Web Services",3,1,0,"","sites"
"HTTP",81,"HTTP","HTTP (HyperText Transfer Protocol) the principal transport protocol for the World Wide Web.","Web Services",3,1,0,"","flash,http,portmap,shoutcast"
"HTTP2",1155,"HTTP 2.0","Traffic generated by browsing websites that support the HTTP 2.0 protocol.","Web Services",3,1,0,"","spdy"
"HTTPMGT",217,"HTTPMGT","Protocol for service type http-mgmt registered with IANA on Port 280 tcp/udp","Networking",3,1,0,"","portmap"
"HTTPTNNL",82,"HTTP Tunnel","HTTP traffic which has been tunnelled using the CONNECT method.","Web Services",3,1,0,"","http"
"HUBPAGES",861,"HubPages","Traffic generated by browsing and browsing the HubPages website.","Web Services",3,2,0,"","sites"
"HUFFPOST",1195,"Huffington Post","Traffic generated from browsing the huffingtonpost website and reading the articles.","Web Services",3,1,0,"","sites"
"HULU",568,"Hulu","Streaming video and browsing traffic from Hulu's websites and mobile applications.","Streaming Media",1,2,0,"http://www.hulu.com/","hulu"
"HUPU",724,"hupu.com","General browsing and streaming media from the sports news website Hupu.com","Web Services",2,1,0,"","sites"
"HUSHMAIL",750,"Hushmail.com","Traffic generated by browsing, logon, and emailing on webmail site Hushmail.com","Mail",3,2,0,"","sites"
"HWCDN",1237,"HWCDN","Traffic generated by browsing websites that use HWCDN to host media or ads.","Web Services",3,1,0,"","sites"
"HYPERG",302,"Hyper-G","A publishing system with hypertext features more advanced than those available with the Hypertext Transfer Protocol and today's Web browser .","Networking",3,1,0,"","portmap"
"HYVES",1022,"Hyves","General browsing and interaction on the Dutch social media website Hyves.","Social Networking",1,1,0,"","sites"
"I2P",1433,"Invisible Internet Protocol","Communication between applications using the I2P pseudo-anonymous secure network layer.","Networking",1,2,0,"","i2p"
"IASD",311,"IASD","Port 432/tcp and 432/udp","Networking",3,1,0,"","portmap"
"IAX2",1360,"IAX2","IAX2 (Inter-Asterisk eXchange Version 2) is a protocol used for transporting VoIP sessions and other forms of streaming media.","Streaming Media",4,3,0,"","iax,portmap"
"IBM",643,"IBM","Website for International Business Machines corporation","Web Services",4,1,0,"","sites"
"IBMAPP",274,"IBM APP","Protocol for service type IBM Application registered with IANA on Port 385 tcp/udp","Networking",3,1,0,"","portmap"
"IBMOPC",305,"IBM OPC","OPC automatically plans, controls, and monitors your production workload to maximize and optimize throughput, but lets you intervene manually when required.","Networking",3,1,0,"","portmap"
"IBVPN",1402,"ibVPN","Traffic tunneled using the ibVPN PC client and mobile apps, and account management traffic from the ibVPN website.","VPN and Tunneling",3,2,0,"","ibvpn"
"ICAD",306,"ICAD","This was a Knowledge-Based Engineering (KBE) system that was based upon the Lisp programming language. ICAD had an open architecture that can utilize all the power and flexibility of the underlying language.","Networking",3,1,0,"","portmap"
"ICALL",794,"iCall","Sending messages, voice or video chat, and mobile to landline phone calls with messaging application iCall.","Messaging",2,2,0,"","icall"
"ICLOUD",627,"iCloud","Apple's cloud data storage and computing service","File Transfer",3,3,0,"","apple"
"ICMP",17,"ICMP","ICMP (Internet Control Message Protocol) One of the core protocols of the Internet Protocol Suite. It is chiefly used by the operating systems of networked computers to send error messages indicating, for instance, that a requested service is not available or that a host or router could not be reached. ICMP can also be used to relay query messages.","Network Monitoring",3,4,0,"","icmp"
"ICMPV6",34,"ICMPv6","The implementation of the Internet Control Message Protocol (ICMP) for Internet Protocol version 6 (IPv6).","Network Monitoring",3,1,0,"","icmp"
"ICP",358,"ICP","Intelligent Communication Protocol, IANA port 1112/tcp and 1112/udp","Networking",3,1,0,"","portmap"
"ICQ",541,"ICQ","ICQ is an instant messaging computer program.","Messaging",3,5,0,"","icq"
"ICQFILE",1388,"ICQ file transfer","Traffic generated by transfering files using ICQ.","Messaging",3,5,0,"","icq"
"IDENT",111,"Ident","Ident is a protocol that helps to identify the user of a particular TCP connection.","Networking",2,5,0,"","portmap"
"IDM",1389,"Internet Download Manager","Standalone and browser plugin software used for speeding up downloads across multiple protocols","Web Services",3,3,0,"https://www.internetdownloadmanager.com/","idm"
"IDP",22,"IDP","IDP (Internet Datagram Protocol) is a close descendant of PUP's internetwork protocol, and roughly corresponds to the Internet Protocol (IP) layer in TCP/IP.","Networking",3,1,0,"","ip"
"IEC104",1293,"IEC 60870-5-104","IEC104 being used to send telecontrol messages between two systems.","Networking",5,1,0,"","portmap,scada"
